"ID","Status","Assertion","Comment"
"td-op-for-event","null","When a forms term member is present in an Event instance, the value(s) of op in the forms MUST be one of subscribeevent or unsubscribeevent.",
"td-op-for-property","null","When a forms term member is present in a Property instance, the value(s) of op in the forms MUST be one of readproperty, writeproperty or observeproperty.",
"td-op-for-thing","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readallproperties, writeallproperties, readmultipleproperties or writemultipleproperties.",
"td-processor","null","",
"td-properties","null","",
"td-properties_existence","null","Properties (and sub-properties) offered by a Thing MUST be collected in the JSON-object based properties member with (unique) Property names as JSON names. (Checking their existence)",
"td-properties_uniqueness","null","",
"td-property-arrays","null","The type of the member forms MUST be serialized as a JSON array.",
"td-property-names","null","",
"td-property-names_at-type","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_const","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_contentEncoding","null","",
"td-property-names_contentMediaType","null","",
"td-property-names_description","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_descriptions","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_enum","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_exclusiveMaximum","null","",
"td-property-names_exclusiveMinimum","null","",
"td-property-names_format","null","",
"td-property-names_forms","null","",
"td-property-names_items","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_maxItems","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_maxLength","null","",
"td-property-names_maximum","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_minItems","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_minLength","null","",
"td-property-names_minimum","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_multipleOf","null","",
"td-property-names_observable","null","",
"td-property-names_oneOf","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_properties","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_readOnly","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_required","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_title","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_titles","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_type","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_unit","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_uriVariables","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-property-names_writeOnly","null","Each mandatory and optional vocabulary term as defined in the class Property, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within a Property object. This means that at the level of an interaction property instance, the vocabulary terms of InteractionPattern and DataSchema can be presented at the same time.",
"td-security","null","",
"td-security-activation","null","",
"td-security-bearer-format-extensions","null","",
"td-security-bearer-format-extensions_alg","null","alg: Encoding, encryption, or digest algorithm (one of MD5, ES256, or ES512-256). MUST be included. Type: string.",
"td-security-bearer-format-extensions_format","null","alg: Encoding, encryption, or digest algorithm (one of MD5, ES256, or ES512-256). MUST be included. Type: string.",
"td-security-binding","null","",
"td-security-combo-deprecation","null","",
"td-security-combo-exclusive-oneof-or-allof","null","Exactly one of either oneOf or allOf MUST be included.",
"td-security-in-query-over-uri","null","The value uri SHOULD be specified for the name in in a security scheme only if query is not applicable.",
"td-security-in-uri-variable","null","",
"td-security-mandatory","null","",
"td-security-oauth2-client-flow","null","For the client flow token MUST be included.",
"td-security-oauth2-client-flow-no-auth","null","",
"td-security-oauth2-code-flow","null","For the code flow both authorization and token MUST be included.",
"td-security-oauth2-device-flow","null","For the device flow both authorization and token MUST be included.",
"td-security-overrides","null","",
"td-security-scheme-name","null","",
"td-security-schemes","null","",
"td-security-uri-variables-distinct","null","",
"td-string-type","null","",
"td-text-at-direction","null","The root element of a TD Serialization MUST be a JSON object that includes a member with the name @context and a value of type string or array that equals or respectively contains https://www.w3.org/2022/wot/td/v1.1.",
"td-title-description","null","",
"td-title-description_descriptions","null","If title and titles description and descriptions are defined at the same time at the JSON level, title and description MAY be seen as default text.",
"td-title-description_titles","null","If title and titles description and descriptions are defined at the same time at the JSON level, title and description MAY be seen as default text.",
"td-titles-descriptions","null","",
"td-uriVariables-dataschema","null","",
"td-uriVariables-names","null","",
"td-version","null","The version container MAY be used to provide additional application and/or device specific version information based on terms from non-TD namespaces.",
"td-vocab-actions--Thing","null","Actions offered by a Thing MUST be collected in the JSON-object based actions member with (unique) Action names as JSON names.(Checking their existence)",
"td-vocab-additionalResponses--Form","null","additionalResponses: This optional term can be used if additional expected responses are possible, e.g. for error reporting. Each additional response needs to be distinguished from others in some way (for example, by specifying a protocol-specific error code), and may also have its own data schema. MAY be included. Type: AdditionalExpectedResponse or Array of AdditionalExpectedResponse.",
"td-vocab-alg--BearerSecurityScheme","null","alg: Encoding, encryption, or digest algorithm (one of MD5, ES256, or ES512-256). MUST be included. Type: string.",
"td-vocab-allOf--ComboSecurityScheme","null","allOf: Array of two or more strings identifying other named security scheme definitions, all of which must be satisfied for access. MUST be included. Type: string or Array of string.",
"td-vocab-anchor--Link","null","anchor: By default, the context of a link is the URL of the representation it is associated with, and is serialised as a URI. When present, the anchor parameter overrides this with another URI, such as a fragment of this resource, or a third resource (i.e., when the anchor value is an absolute URI).",
"td-vocab-at-context--Thing","null","",
"td-vocab-at-type--DataSchema","null","@type: Known from JSON-LD [[!json-ld]], @type is used to state that values described by the DataSchema are instances of a class. Each string in the value array represents a class. MAY be included. Type: array of string.",
"td-vocab-at-type--InteractionAffordance","null","@type: Known from JSON-LD [[!json-ld]], @type is used to state that an interaction resource is an instance of a class. Each string in the value array represents a class. MAY be included. Type: array of string.",
"td-vocab-at-type--SecurityScheme","null","@type: Known from JSON-LD [[!json-ld]], @type is used to state that a security mechanism configured by the SecurityScheme is an instance of a class. Each string in the value array represents a class. MAY be included. Type: array of string.",
"td-vocab-at-type--Thing","null","@type: Known from JSON-LD [[!json-ld]], @type is used to state that a thing resource is an instance of a class. Each string in the value array represents a class. MAY be included. Type: array of string.",
"td-vocab-authorization--BearerSecurityScheme","null","authorization: URI of the authorization server. MAY be included. Type: anyURI.",
"td-vocab-authorization--OAuth2SecurityScheme","null","authorization: URI of the authorization server. MAY be included. Type: anyURI.",
"td-vocab-base--Thing","null","base: Define the base URI that is valid for all defined local interaction resources. All other URIs in the TD must then be resolved using the algorithm defined in [[!RFC3986]].",
"td-vocab-cancellation--EventAffordance","null","cancellation: Defines any data that needs to be passed to cancel a subscription, e.g., a specific message to remove a Webhook.",
"td-vocab-const--DataSchema","null","const: Provides a constant value. MAY be included. Type: any type.",
"td-vocab-contentCoding--Form","null","contentCoding: Content coding values indicate an encoding transformation that has been or can be applied to a representation. Content codings are primarily used to allow a representation to be compressed or otherwise usefully transformed without losing the identity of its underlying media type and without loss of information.",
"td-vocab-contentEncoding--StringSchema","null","contentEncoding: Specifies the encoding used to store the contents",
"td-vocab-contentMediaType--StringSchema","null","contentMediaType: Specifies the MIME type (e.g., image/png, audio/mpeg) of the contents of a string value, as described in RFC 2046. MAY be included. Type: string.",
"td-vocab-contentType--AdditionalExpectedResponse","null","contentType: Assign a content type based on a media type (e.g., text/plain) and potential parameters (e.g., charset=utf-8) for the media type [RFC2046]. MAY be included. Type: string.",
"td-vocab-contentType--ExpectedResponse","null","",
"td-vocab-contentType--Form","null","contentType: Assign a content type based on a media type [[!MEDIATYPES]] (e.g., 'application/json) and (optional) parameters (e.g., 'charset=utf-8').",
"td-vocab-created--Thing","null","created: Provides information when the TD instance was created.",
"td-vocab-data--EventAffordance","null","data: Defines the data schema of the Event instance messages pushed by the Thing.",
"td-vocab-dataResponse--EventAffordance","null","dataResponse: Defines the data schema of the Event response messages sent be the consumer in a response to a data message.",
"td-vocab-default--DataSchema","null","default: Supply a default value. The value should validate against the data schema in which it resides. MAY be included. Type: any type.",
"td-vocab-description--DataSchema","null","description: Provides additional (human-readable) information based on a default language. MAY be included. Type: string.",
"td-vocab-description--InteractionAffordance","null","description: Provides additional (human-readable) information based on a default language. MAY be included. Type: string.",
"td-vocab-description--SecurityScheme","null","name: Name for query, header, or cookie parameters. MAY be included. Type: string.",
"td-vocab-description--Thing","null","",
"td-vocab-descriptions--DataSchema","null","descriptions: Can be used to support (human-readable) information in different languages. MAY be included. Type: MultiLanguage.",
"td-vocab-descriptions--InteractionAffordance","null","descriptions: Can be used to support (human-readable) information in different languages. MAY be included. Type: MultiLanguage.",
"td-vocab-descriptions--SecurityScheme","null","name: Name for query, header, or cookie parameters. MAY be included. Type: string.",
"td-vocab-descriptions--Thing","null","descriptions: Can be used to support (human-readable) information in different languages. MAY be included. Type: MultiLanguage.",
"td-vocab-enum--DataSchema","null","enum: Restricted set of values provided as an array.",
"td-vocab-events--Thing","null","Events offered by a Thing MUST be collected in the JSON-object based events member with (unique) Event names as JSON names. (Checking if they exist)",
"td-vocab-exclusiveMaximum--IntegerSchema","null","exclusiveMaximum: Specifies a maximum numeric value, representing an exclusive upper limit. Only applicable for associated number or integer types. MAY be included. Type: integer.",
"td-vocab-exclusiveMaximum--NumberSchema","null","exclusiveMaximum: Specifies a maximum numeric value, representing an exclusive upper limit. Only applicable for associated number or integer types. MAY be included. Type: double.",
"td-vocab-exclusiveMinimum--IntegerSchema","null","exclusiveMinimum: Specifies a minimum numeric value, representing an exclusive lower limit. Only applicable for associated number or integer types. MAY be included. Type: integer.",
"td-vocab-exclusiveMinimum--NumberSchema","null","exclusiveMinimum: Specifies a minimum numeric value, representing an exclusive lower limit. Only applicable for associated number or integer types. MAY be included. Type: double.",
"td-vocab-flow--OAuth2SecurityScheme","null","For the code flow both authorization and token MUST be included.",
"td-vocab-format--BearerSecurityScheme","null","format: Specifies format of security authentication information (one of jwt, jwe, or jws). MUST be included. Type: string.",
"td-vocab-format--DataSchema","null","format: Defines format pattern validation on certain kinds of string values. It is open to use pattern values that may originate from JSON schema presets (e.g., date/time, email, URL) or other (customer-based) $defs. . MAY be included. Type: string.",
"td-vocab-forms--InteractionAffordance","null","forms: Indicates one or more endpoints at which operation(s) on this resource are accessible. MUST be included. Type: array of Form.",
"td-vocab-forms--Thing","null","forms: Indicates one or more endpoints at which operation(s) on this resource are accessible. In this version of TD, all operations that can be described at the Thing level are concerning how to interact with the Thing's Property interaction resources collectively at once. MAY be included. Type: array of Form.",
"td-vocab-href--Form","null","",
"td-vocab-href--Link","null","Each mandatory and optional vocabulary term as defined in the class Link, MUST be serialized as a JSON name.",
"td-vocab-hreflang--Link","null","anchor: By default, the context of a link is the URL of the representation it is associated with, and is serialised as a URI. When present, the anchor parameter overrides this with another URI, such as a fragment of this resource, or a third resource (i.e., when the anchor value is an absolute URI).",
"td-vocab-id--Thing","null","",
"td-vocab-idempotent--ActionAffordance","null","idempotent: Indicates whether the action is idempotent (=true) or not. Informs whether the action can be called repeatedly with the same result, if present, based on the same input.",
"td-vocab-identity--PSKSecurityScheme","null","identity: Pre-shared key identity. MAY be included. Type: string.",
"td-vocab-in--APIKeySecurityScheme","null","in: Specifies the location of security authentication information (one of header, query, body, or cookie). MUST be included. Type: string.",
"td-vocab-in--BasicSecurityScheme","null","in: Specifies the location of security authentication information (one of header, query, body, or cookie). MUST be included. Type: string.",
"td-vocab-in--BearerSecurityScheme","null","in: Specifies the location of security authentication information (one of header, query, body, or cookie). MUST be included. Type: string.",
"td-vocab-in--DigestSecurityScheme","null","in: Specifies the location of security authentication information (one of header, query, body, or cookie). MUST be included. Type: string.",
"td-vocab-input--ActionAffordance","null","input: Used to define the input data schema of the action.",
"td-vocab-instance--VersionInfo","null","The version container MAY be used to provide additional application and/or device specific version information based on terms from non-TD namespaces.",
"td-vocab-items--ArraySchema","null","items: Used to define the characteristics of an array. MAY be included. Type: DataSchema.",
"td-vocab-links--Thing","null","Each mandatory and optional vocabulary term as defined in the class Link, MUST be serialized as a JSON name.",
"td-vocab-maxItems--ArraySchema","null","maxItems: Defines the maximum number of items that have to be in the array. MAY be included. Type: unsignedInt.",
"td-vocab-maxLength--StringSchema","null","maxLength: Specifies the maximum length of a string. Only applicable for associated string types. MAY be included. Type: unsignedInt.",
"td-vocab-maximum--IntegerSchema","null","maximum: Specifies a maximum numeric value. Only applicable for associated number or integer types. MAY be included. Type: integer.",
"td-vocab-maximum--NumberSchema","null","maximum: Specifies a maximum numeric value. Only applicable for associated number or integer types. MAY be included. Type: double.",
"td-vocab-minItems--ArraySchema","null","minItems: Defines the minimum number of items that have to be in the array. MAY be included. Type: unsignedInt.",
"td-vocab-minLength--StringSchema","null","minLength: Specifies the minimum length of a string. Only applicable for associated string types. MAY be included. Type: unsignedInt.",
"td-vocab-minimum--IntegerSchema","null","minimum: Specifies a minimum numeric value. Only applicable for associated number or integer types. MAY be included. Type: integer.",
"td-vocab-minimum--NumberSchema","null","minimum: Specifies a minimum numeric value. Only applicable for associated number or integer types. MAY be included. Type: double.",
"td-vocab-model--VersionInfo","null","model: Provides a version indicator of the underlying TM. instance. MAY be included. Type: string.",
"td-vocab-modified--Thing","null","modified: Provides information when the TD instance was last modified.",
"td-vocab-multipleOf--IntegerSchema","null","multipleOf: Specifies the multipleOf value number. The value must strictly greater than 0. Only applicable for associated number or integer types. MAY be included. Type: integer.",
"td-vocab-multipleOf--NumberSchema","null","exclusiveMinimum: Specifies a minimum numeric value, representing an exclusive lower limit. Only applicable for associated number or integer types. MAY be included. Type: double.",
"td-vocab-name--APIKeySecurityScheme","null","name: Name for query, header, or cookie parameters. MAY be included. Type: string.",
"td-vocab-name--BasicSecurityScheme","null","name: Name for query, header, or cookie parameters. MAY be included. Type: string.",
"td-vocab-name--BearerSecurityScheme","null","name: Name for query, header, or cookie parameters. MAY be included. Type: string.",
"td-vocab-name--DigestSecurityScheme","null","name: Name for query, header, or cookie parameters. MAY be included. Type: string.",
"td-vocab-observable--PropertyAffordance","null",") the Property, to receive change notifications or periodic updates (true/false).",
"td-vocab-oneOf--ComboSecurityScheme","null","oneOf: Array of two or more strings identifying other named security scheme definitions, any one of which, when satisfied, will allow access. Only one may be chosen for use. MUST be included. Type: string or Array of string.",
"td-vocab-oneOf--DataSchema","null","oneOf: Used to ensure that the data is valid against one of the specified schemas in the array. MAY be included. Type: array of DataSchema.",
"td-vocab-op--Form","null","",
"td-vocab-op--Form_cancelaction","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-op--Form_invokeaction","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-op--Form_observeallproperties","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readallproperties, writeallproperties, readmultipleproperties or writemultipleproperties.",
"td-vocab-op--Form_observeproperty","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-op--Form_queryaction","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-op--Form_queryallactions","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readallproperties, writeallproperties, readmultipleproperties or writemultipleproperties.",
"td-vocab-op--Form_readallproperties","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readallproperties, writeallproperties, readmultipleproperties or writemultipleproperties.",
"td-vocab-op--Form_readmultipleproperties","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readmultipleproperties.",
"td-vocab-op--Form_readproperty","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-op--Form_subscribeallevents","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readallproperties, writeallproperties, readmultipleproperties or writemultipleproperties.",
"td-vocab-op--Form_subscribeevent","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-op--Form_unobserveallproperties","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readallproperties, writeallproperties, readmultipleproperties or writemultipleproperties.",
"td-vocab-op--Form_unobserveproperty","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-op--Form_unsubscribeallevents","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readallproperties, writeallproperties, readmultipleproperties or writemultipleproperties.",
